,Bankrupt,TA,GP,Sales,Cash,LT Debt,Inventories,Current liabilities,Retained earnings,Current assets,EBIT,Operating income,ROA,ROE,ROS,NI,WC
6775,,39346000,26838000,26838000,13088000.0,,1010000.0,38243000.0,1093000.0,30842000,144000.0,273000.0,0.0033,0.1181,0.0046,123000.0,1103000.0
6776,,370769000,396371000,452542000,571000.0,,33916000.0,366815000.0,3977000.0,368836000,3845000.0,4475000.0,0.0132,1.1939,0.0067,3026000.0,3954000.0
6777,,12992000,6432000,28307000,450000.0,,8173000.0,8847000.0,4133000.0,12268000,94000.0,-1796000.0,0.0013,0.006,0.0009,25000.0,4145000.0
6778,,23929000,2534000,23692000,171000.0,,15249000.0,21584000.0,2333000.0,23860000,-426000.0,105000.0,-0.0205,-0.1708,-0.0185,-438000.0,2345000.0
6779,,81543000,87741000,147662000,1454000.0,,5000.0,79299000.0,2237000.0,81305000,66607000.0,64237000.0,0.9476,-3.6971,0.3613,53349000.0,2244000.0
6780,,26861000,6427000,19456000,397000.0,,3966000.0,23202000.0,3649000.0,26182000,-103000.0,17000.0,-0.0047,-0.0344,-0.0066,-128000.0,3659000.0
6781,,142098000,19701000,291836000,3784000.0,,37101000.0,106530000.0,35557000.0,106633000,8377000.0,19701000.0,0.0289,0.1374,0.0162,4739000.0,37420000.0
6782,,71542000,29193000,134221000,18272000.0,,6724000.0,46948000.0,24584000.0,60518000,28571000.0,29193000.0,0.2269,1.7361,0.1703,22857000.0,24594000.0
6783,,12937000,1315000,43624000,346000.0,,644000.0,9842000.0,3075000.0,12767000,1238000.0,1315000.0,0.0861,0.3712,0.0227,991000.0,3095000.0
6784,,35601000,4693000,76021000,814000.0,,440000.0,15046000.0,20545000.0,35385000,3561000.0,4693000.0,0.0875,0.1482,0.0375,2848000.0,20555000.0
6785,,203652000,54346000,457399000,2894000.0,,84694000.0,184388000.0,19254000.0,178151000,28521000.0,28240000.0,0.1411,1.6429,0.0493,22562000.0,19264000.0
6786,,22411000,2382000,12437000,108000.0,1000000.0,16915000.0,12859000.0,8542000.0,21027000,37000.0,411000.0,0.0013,0.0035,0.0024,30000.0,8552000.0
6787,,5007000,2534000,5739000,25000.0,,40000.0,4894000.0,103000.0,4019000,70000.0,103000.0,0.0093,1.0072,0.0122,70000.0,113000.0
6788,,25495000,6246000,41407000,1561000.0,,605000.0,3357000.0,22128000.0,16598000,5570000.0,6246000.0,0.2493,0.2878,0.1345,5570000.0,22138000.0
6789,,5583000,634000,18390000,2427000.0,4023000.0,244000.0,1056000.0,494000.0,4052000,617000.0,634000.0,0.177,1.9603,0.0269,494000.0,504000.0
6790,,1459818000,130000,130000,84000.0,577067000.0,3887000.0,1067707000.0,-184966000.0,1181890000,-125469000.0,130000.0,-0.1308,1.0543,-965.1462,-125469000.0,-184956000.0
6791,,14065000,3735000,3735000,94000.0,10739000.0,,49000.0,3267000.0,118000,2355000.0,2474000.0,0.1501,0.9648,0.5754,2149000.0,3277000.0
6792,,22800000,4011000,4026000,44000.0,4718000.0,,6669000.0,11403000.0,18717000,1109000.0,1138000.0,0.0456,0.0992,0.2598,1046000.0,11413000.0
6793,,3049000,1611875,13792429,554000.0,,1110000.0,2259000.0,69000.0,2478000,68887.0,1611875.0,0.0157,0.0672,0.004,55109.0,790000.0
6794,,11017000,14152000,16176000,255000.0,,,10579000.0,428000.0,9339000,320000.0,685000.0,0.0235,0.7829,0.0158,256000.0,438000.0
6795,,5768000,552000,31863000,169000.0,,1219000.0,3827000.0,1931000.0,5609000,426000.0,552000.0,0.051,0.1682,0.0107,341000.0,1941000.0
6796,,236431000,42091000,96180000,634000.0,83355000.0,154451000.0,38869000.0,114115000.0,169397000,3836000.0,17723000.0,0.0081,0.0184,0.0217,2084000.0,114207000.0
6797,,24585000,2501000,27750000,477000.0,,8451000.0,19290000.0,4795000.0,18673000,2246000.0,2501000.0,0.1138,0.4329,0.0648,1797000.0,5295000.0
